Navn;Fasade;Sone/tiltak;Areal [m²];Solskjerming;Solfaktor;Solfaktor_deaktivert;surface_tilt;surface_azimuth;frame_factor;surface_weight;horizon_angle;
V 0,82_3,0 ;Facade mod syd  230 m2;1742 m2;2.46;Egendefinert;0.1;0.45;90;180;0.2;0.02;9;
V 0,33_3,0 ;Facade mod syd  230 m2;1742 m2;3.96;Egendefinert;0.1;0.45;90;180;0.2;0.03;9;
V 0,71_3,0 ;Facade mod syd  230 m2;1742 m2;2.13;Egendefinert;0.1;0.45;90;180;0.2;0.01;9;
V 1,49_3,0 ;Facade mod syd  230 m2;1742 m2;53.64;Egendefinert;0.1;0.45;90;180;0.2;0.35;9;
V 21,6 x 1,925;Facade mod syd  230 m2;1742 m2;41.47;Egendefinert;0.1;0.45;90;180;0.2;0.27;9;
V 9,5 x 1,835;Facade mod syd  230 m2;1742 m2;34.96;Egendefinert;0.1;0.45;90;180;0.2;0.23;9;
V 1,24_3,0 ;Facade mod syd  230 m2;1742 m2;7.44;Egendefinert;0.1;0.45;90;180;0.2;0.05;9;
D 1,99_3,0 DØR;Facade mod syd  230 m2;1742 m2;5.97;Egendefinert;0.45;0.45;90;180;0.2;0.04;9;
V 10,4 x 2,5;Facade mod vest 318 m2;1742 m2;26;Innvendig screen, 3-lags rute, 1 energiglass;0.35;0.35;90;270;0.2;0.42;9;
V 0,44 x 3;Facade mod vest 318 m2;1742 m2;1.32;Innvendig screen, 3-lags rute, 1 energiglass;0.35;0.4;90;270;0.2;0.02;9;
V 0,72 x 3;Facade mod vest 318 m2;1742 m2;2.16;To lag glass, hvorav det indre er energispareglass;0.55;0.4;90;270;0.2;0.03;9;
V 3,8 x 1,925;Facade mod vest 318 m2;1742 m2;7.3;Innvendig screen, 3-lags rute, 1 energiglass;0.35;0.4;90;270;0.2;0.12;9;
V 3,0 x 1,925;Facade mod vest 318 m2;1742 m2;5.76;Innvendig screen, 3-lags rute, 1 energiglass;0.35;0.4;90;270;0.2;0.09;9;
V 2,2 x 1,925;Facade mod vest 318 m2;1742 m2;4.22;Innvendig screen, 3-lags rute, 1 energiglass;0.35;0.4;90;270;0.2;0.07;9;
V 1,2x 2,73;Facade mod vest 318 m2;1742 m2;9.83;Egendefinert;0.25;0.25;90;270;0.2;0.16;9;
D 1,77_3,0 DØR;Facade mod vest 318 m2;1742 m2;5.31;Egendefinert;0.45;0.45;90;270;0.2;0.09;9;
V 4,2 x 2,5;Facade mod nordvest  63 m2;1742 m2;10.5;Egendefinert;0.46;0.46;90;330;0.2;0.41;18;
V 0,8 x 1,925;Facade mod nordvest  63 m2;1742 m2;1.54;Egendefinert;0.45;0.45;90;330;0.2;0.06;18;
V 2,6 x 1,925;Facade mod nordvest  63 m2;1742 m2;4.99;Egendefinert;0.45;0.45;90;330;0.2;0.19;18;
V 4,5 x 1,925;Facade mod nordvest  63 m2;1742 m2;8.64;Egendefinert;0.45;0.45;90;330;0.2;0.34;18;
V 5,15 x 2,5;Facade mod øst 307 m2;1742 m2;12.88;Innvendig screen, 3-lags rute, 1 energiglass;0.35;0.4;90;90;0.2;0.26;9;
D Dør;Facade mod øst 307 m2;1742 m2;4.44;Egendefinert;0.45;0.45;90;90;0.2;0.09;9;
V 3,675 x1,925;Facade mod øst 307 m2;1742 m2;21.14;Innvendig screen, 3-lags rute, 1 energiglass;0.35;0.4;90;90;0.2;0.43;9;
V 1,2x 2,73;Facade mod øst 307 m2;1742 m2;9.83;Egendefinert;0.25;0.25;90;90;0.2;0.20;9;
B 1,2x 0,96 Brannluke;Facade mod øst 307 m2;1742 m2;1.15;Egendefinert;0.1;0.1;90;90;0.2;0.02;9;
V 17,9 x 1,925;Facade mod nord 648 m2;1742 m2;103.1;Egendefinert;0.45;0.45;90;0;0.2;0.64;27;
V 5,8 x 1,925;Facade mod nord 648 m2;1742 m2;11.14;Egendefinert;0.45;0.45;90;0;0.2;0.07;27;
V 4,2 x 1,925;Facade mod nord 648 m2;1742 m2;8.06;Egendefinert;0.45;0.45;90;0;0.2;0.05;27;
V 2,2 x 1,925;Facade mod nord 648 m2;1742 m2;4.22;Egendefinert;0.45;0.45;90;0;0.2;0.03;27;
V 22,37 x 1,26;Facade mod nord 648 m2;1742 m2;28.22;Egendefinert;0.45;0.45;90;0;0.2;0.18;27;
V Mango IFC oppmåling;Facade mod nord 648 m2;1742 m2;6;Egendefinert;0.45;0.45;90;0;0.2;0.04;27;
